,id,name,nameWithOwner,stargazers.totalCount
215,MDEwOlJlcG9zaXRvcnk1MzEyNzQwMw==,apollo,apolloconfig/apollo,26543
216,MDEwOlJlcG9zaXRvcnkyNTc5MzE0,Faker,fzaninotto/Faker,26410
217,MDEwOlJlcG9zaXRvcnkzNDkyNDE=,underscore,jashkenas/underscore,26390
218,MDEwOlJlcG9zaXRvcnkxODY0MzYz,composer,composer/composer,26381
219,MDEwOlJlcG9zaXRvcnkxMzc3MjQ0ODA=,graphql-engine,hasura/graphql-engine,26353
220,MDEwOlJlcG9zaXRvcnk0ODYxMDY2Mg==,acme.sh,acmesh-official/acme.sh,26029
221,MDEwOlJlcG9zaXRvcnk3OTAzNTk=,sequelize,sequelize/sequelize,25949
222,MDEwOlJlcG9zaXRvcnkzOTg0MDkzMg==,googletest,google/googletest,25551
223,MDEwOlJlcG9zaXRvcnk0NDY2MjY2OQ==,dbeaver,dbeaver/dbeaver,25498
224,MDEwOlJlcG9zaXRvcnkxMjgzNTAz,request,request/request,25445
225,MDEwOlJlcG9zaXRvcnkxNTA0NTc1MQ==,compose,docker/compose,25402
226,MDEwOlJlcG9zaXRvcnkzMzg4NDg5MQ==,airflow,apache/airflow,25388
227,MDEwOlJlcG9zaXRvcnkzNjg5MTg2Nw==,angular-cli,angular/angular-cli,25317
228,MDEwOlJlcG9zaXRvcnkyNzAwMTU5,druid,alibaba/druid,25320
229,MDEwOlJlcG9zaXRvcnkzNjIwMTk0,select2,select2/select2,25262
230,MDEwOlJlcG9zaXRvcnkzMTc3NTc=,Modernizr,Modernizr/Modernizr,25186
231,MDEwOlJlcG9zaXRvcnkyMjgwMTY0NDM=,leetcode-master,youngyangyang04/leetcode-master,25207
232,MDEwOlJlcG9zaXRvcnkyMTkzODI0Mw==,awesome-rust,rust-unofficial/awesome-rust,25152
233,MDEwOlJlcG9zaXRvcnk1NzE3NzA=,pandoc,jgm/pandoc,25130
234,MDEwOlJlcG9zaXRvcnk0NjI3MzQ0NQ==,uppy,transloadit/uppy,25101
235,MDEwOlJlcG9zaXRvcnkzMjIxNTk3MA==,mobx,mobxjs/mobx,25050
236,MDEwOlJlcG9zaXRvcnk2NzcwMjE4NA==,Magisk,topjohnwu/Magisk,25050
237,MDEwOlJlcG9zaXRvcnkyMDI4OTA3Nzg=,chakra-ui,chakra-ui/chakra-ui,25022
238,MDEwOlJlcG9zaXRvcnkyODgxNzg5,Python,geekcomputers/Python,25001
239,MDEwOlJlcG9zaXRvcnkyNTQxMjg0,cheerio,cheeriojs/cheerio,24920
240,MDEwOlJlcG9zaXRvcnkxNjYwNzg5OA==,drone,harness/drone,24759
241,MDEwOlJlcG9zaXRvcnkxMjU0NDk3,CodeMirror,codemirror/CodeMirror,24688
242,MDEwOlJlcG9zaXRvcnkxOTc0NTAwNA==,odoo,odoo/odoo,24645
243,MDEwOlJlcG9zaXRvcnk1NjkwNDE=,curl,curl/curl,24572
244,MDEwOlJlcG9zaXRvcnkxNDEyNTI1NA==,consul,hashicorp/consul,24514
245,MDEwOlJlcG9zaXRvcnkyMzMzODcxNg==,react-select,JedWatson/react-select,24384
246,MDEwOlJlcG9zaXRvcnk1MzM3MDk4OA==,lighthouse,GoogleChrome/lighthouse,24376
247,MDEwOlJlcG9zaXRvcnkyNjQ4MTg2ODY=,yolov5,ultralytics/yolov5,24373
248,MDEwOlJlcG9zaXRvcnkxNzg5OTExNTg=,starship,starship/starship,24367
249,MDEwOlJlcG9zaXRvcnkxMDI4MzQw,ace,ajaxorg/ace,24263
250,MDEwOlJlcG9zaXRvcnkxNjU2MzU4Nw==,cockroach,cockroachdb/cockroach,24129
251,MDEwOlJlcG9zaXRvcnk1OTc4Nzk=,mongoose,Automattic/mongoose,24117
252,MDEwOlJlcG9zaXRvcnk0MDIwNDY=,jsPDF,parallax/jsPDF,24092
253,MDEwOlJlcG9zaXRvcnkzMTM0MTk=,SDWebImage,SDWebImage/SDWebImage,24061
254,MDEwOlJlcG9zaXRvcnk2MTQxMjAyMg==,slate,ianstormtaylor/slate,23999
255,MDEwOlJlcG9zaXRvcnk5MTI1MzY5OA==,ccxt,ccxt/ccxt,23893
256,MDEwOlJlcG9zaXRvcnkzMTI4ODk1OA==,vault,hashicorp/vault,23867
257,MDEwOlJlcG9zaXRvcnk1NjM1Mzc0MA==,minikube,kubernetes/minikube,23634
258,MDEwOlJlcG9zaXRvcnk0ODE4NzI=,vagrant,hashicorp/vagrant,23591
259,MDEwOlJlcG9zaXRvcnkxMzEyNDgwMg==,influxdb,influxdata/influxdb,23272
260,MDEwOlJlcG9zaXRvcnk3NjEzMjU3,selenium,SeleniumHQ/selenium,23128
261,MDEwOlJlcG9zaXRvcnkxNDMxNTQ3,django-rest-framework,encode/django-rest-framework,23127
262,MDEwOlJlcG9zaXRvcnkyMTQ2NzExMA==,spaCy,explosion/spaCy,23090
263,MDEwOlJlcG9zaXRvcnk2MDI0NjM1OQ==,ClickHouse,ClickHouse/ClickHouse,22996
264,MDEwOlJlcG9zaXRvcnkyNTAwMDg4,gitlabhq,gitlabhq/gitlabhq,22875
265,MDEwOlJlcG9zaXRvcnk3OTUxMDE2Nw==,pipenv,pypa/pipenv,22849
266,MDEwOlJlcG9zaXRvcnk2ODcyMDg2Nw==,first-contributions,firstcontributions/first-contributions,22745
267,MDEwOlJlcG9zaXRvcnk2OTQ5NTE3MA==,fastify,fastify/fastify,22633
268,MDEwOlJlcG9zaXRvcnk0NTA1NTY5Mw==,etcher,balena-io/etcher,22626
269,MDEwOlJlcG9zaXRvcnk0OTAxNjMyMg==,components,angular/components,22617
270,MDEwOlJlcG9zaXRvcnkxMDU2NzE5Nw==,dokku,dokku/dokku,22595
